AOA,CD
-180.0,0.006
-179.0,0.006548
-178.0,0.008192
-177.0,0.01093
-176.0,0.014759
-175.0,0.019673
-174.0,0.025667
-173.0,0.032734
-172.0,0.040864
-171.0,0.050049
-170.0,0.060277
-169.0,0.071535
-168.0,0.083809
-167.0,0.097085
-166.0,0.111347
-165.0,0.126577
-164.0,0.142757
-163.0,0.159866
-162.0,0.177885
-161.0,0.19679
-160.0,0.21656
-159.0,0.23717
-158.0,0.258594
-157.0,0.280807
-156.0,0.303782
-155.0,0.327491
-154.0,0.351905
-153.0,0.376993
-152.0,0.402726
-151.0,0.429073
-150.0,0.456
-149.0,0.483476
-148.0,0.511466
-147.0,0.539937
-146.0,0.568854
-145.0,0.598182
-144.0,0.627885
-143.0,0.657926
-142.0,0.68827
-141.0,0.718879
-140.0,0.749717
-139.0,0.780744
-138.0,0.811924
-137.0,0.843219
-136.0,0.87459
-135.0,0.906
-134.0,0.93741
-133.0,0.968781
-132.0,1.000076
-131.0,1.031256
-130.0,1.062283
-129.0,1.09312
-128.0,1.12373
-127.0,1.154074
-126.0,1.184115
-125.0,1.213818
-124.0,1.243146
-123.0,1.272063
-122.0,1.300534
-121.0,1.328524
-120.0,1.356
-119.0,1.382927
-118.0,1.409274
-117.0,1.435007
-116.0,1.460095
-115.0,1.484509
-114.0,1.508217
-113.0,1.531193
-112.0,1.553406
-111.0,1.57483
-110.0,1.59544
-109.0,1.61521
-108.0,1.634115
-107.0,1.652134
-106.0,1.669243
-105.0,1.685423
-104.0,1.700653
-103.0,1.714915
-102.0,1.728191
-101.0,1.740465
-100.0,1.751723
-99.0,1.761951
-98.0,1.771135
-97.0,1.779266
-96.0,1.786333
-95.0,1.792327
-94.0,1.797241
-93.0,1.80107
-92.0,1.803808
-91.0,1.805452
-90.0,1.8
-89.0,1.799766
-88.0,1.798435
-87.0,1.796011
-86.0,1.792496
-85.0,1.787894
-84.0,1.782213
-83.0,1.775458
-82.0,1.767638
-81.0,1.758764
-80.0,1.748846
-79.0,1.737897
-78.0,1.72593
-77.0,1.71296
-76.0,1.699003
-75.0,1.684077
-74.0,1.6682
-73.0,1.651392
-72.0,1.633672
-71.0,1.615064
-70.0,1.59559
-69.0,1.575275
-68.0,1.554142
-67.0,1.532219
-66.0,1.509532
-65.0,1.486109
-64.0,1.461979
-63.0,1.437171
-62.0,1.411716
-61.0,1.385646
-60.0,1.358992
-59.0,1.331786
-58.0,1.304064
-57.0,1.275857
-56.0,1.247202
-55.0,1.218133
-54.0,1.188685
-53.0,1.158896
-52.0,1.128801
-51.0,1.098438
-50.0,1.067842
-49.0,1.037054
-48.0,1.006109
-47.0,0.975045
-46.0,0.943902
-45.0,0.912716
-44.0,0.881526
-43.0,0.850371
-42.0,0.819288
-41.0,0.788316
-40.0,0.757492
-39.0,0.726855
-38.0,0.696441
-37.0,0.666288
-36.0,0.636433
-35.0,0.606913
-34.0,0.577763
-33.0,0.549019
-32.0,0.520716
-31.0,0.49289
-30.0,0.465574
-29.0,0.438801
-28.0,0.412604
-27.0,0.387016
-26.0,0.362068
-25.0,0.337789
-24.0,0.314211
-23.0,0.291361
-22.0,0.269268
-21.0,0.247958
-20.0,0.227458
-19.0,0.207793
-18.0,0.188987
-17.0,0.171063
-16.0,0.154043
-15.0,0.137947
-14.0,0.122796
-13.0,0.108607
-12.0,0.095399
-11.0,0.083187
-10.0,0.071986
-9.5,0.10858
-8.5,0.0725
-8.0,0.05319
-7.5,0.04526
-7.0,0.04046
-6.5,0.03689
-5.5,0.02705
-5.0,0.02207
-4.5,0.01823
-4.0,0.01582
-3.5,0.01517
-3.0,0.01499
-2.5,0.01581
-2.0,0.01662
-1.5,0.0162
-1.0,0.01534
-0.5,0.01474
0.0,0.01454
0.5,0.01474
1.0,0.01533
1.5,0.01619
2.0,0.01661
2.5,0.0158
3.0,0.01498
3.5,0.01516
4.0,0.01581
4.5,0.01825
5.0,0.02207
5.5,0.02704
6.5,0.03689
7.0,0.04046
7.5,0.04527
8.5,0.07259
9.0,0.06033
9.5,0.0869
10.0,0.09689
12.0,0.14356
12.5,0.1506
13.0,0.16233
13.5,0.18215
14.5,0.18899
15.0,0.135773
16.0,0.151879
17.0,0.168911
18.0,0.186847
19.0,0.205665
20.0,0.225343
21.0,0.245857
22.0,0.26718
23.0,0.289289
24.0,0.312154
25.0,0.335749
26.0,0.360044
27.0,0.38501
28.0,0.410617
29.0,0.436832
30.0,0.463624
31.0,0.49096
32.0,0.518807
33.0,0.547131
34.0,0.575896
35.0,0.605069
36.0,0.634612
37.0,0.66449
38.0,0.694667
39.0,0.725105
40.0,0.755768
41.0,0.786617
42.0,0.817615
43.0,0.848725
44.0,0.879907
45.0,0.911124
46.0,0.942338
47.0,0.97351
48.0,1.004602
49.0,1.035577
50.0,1.066396
51.0,1.097021
52.0,1.127415
53.0,1.157541
54.0,1.187362
55.0,1.216841
56.0,1.245943
57.0,1.274631
58.0,1.302871
59.0,1.330627
60.0,1.357866
61.0,1.384554
62.0,1.410659
63.0,1.436149
64.0,1.460992
65.0,1.485157
66.0,1.508616
67.0,1.531339
68.0,1.553299
69.0,1.574468
70.0,1.594821
71.0,1.614331
72.0,1.632977
73.0,1.650733
74.0,1.66758
75.0,1.683495
76.0,1.698459
77.0,1.712453
78.0,1.725462
79.0,1.737467
80.0,1.748455
81.0,1.758412
82.0,1.767325
83.0,1.775183
84.0,1.781977
85.0,1.787698
86.0,1.792339
87.0,1.795893
88.0,1.798357
89.0,1.799726
90.0,1.8
91.0,1.805452
92.0,1.803808
93.0,1.80107
94.0,1.797241
95.0,1.792327
96.0,1.786333
97.0,1.779266
98.0,1.771135
99.0,1.761951
100.0,1.751723
101.0,1.740465
102.0,1.728191
103.0,1.714915
104.0,1.700653
105.0,1.685423
106.0,1.669243
107.0,1.652134
108.0,1.634115
109.0,1.61521
110.0,1.59544
111.0,1.57483
112.0,1.553406
113.0,1.531193
114.0,1.508217
115.0,1.484509
116.0,1.460095
117.0,1.435007
118.0,1.409274
119.0,1.382927
120.0,1.356
121.0,1.328524
122.0,1.300534
123.0,1.272063
124.0,1.243146
125.0,1.213818
126.0,1.184115
127.0,1.154074
128.0,1.12373
129.0,1.09312
130.0,1.062283
131.0,1.031256
132.0,1.000076
133.0,0.968781
134.0,0.93741
135.0,0.906
136.0,0.87459
137.0,0.843219
138.0,0.811924
139.0,0.780744
140.0,0.749717
141.0,0.718879
142.0,0.68827
143.0,0.657926
144.0,0.627885
145.0,0.598182
146.0,0.568854
147.0,0.539937
148.0,0.511466
149.0,0.483476
150.0,0.456
151.0,0.429073
152.0,0.402726
153.0,0.376993
154.0,0.351905
155.0,0.327491
156.0,0.303782
157.0,0.280807
158.0,0.258594
159.0,0.23717
160.0,0.21656
161.0,0.19679
162.0,0.177885
163.0,0.159866
164.0,0.142757
165.0,0.126577
166.0,0.111347
167.0,0.097085
168.0,0.083809
169.0,0.071535
170.0,0.060277
171.0,0.050049
172.0,0.040864
173.0,0.032734
174.0,0.025667
175.0,0.019673
176.0,0.014759
177.0,0.01093
178.0,0.008192
179.0,0.006548
180.0,0.006
